Артикул;Название;Категория;Описание;Цена;Скидка;Вес;Калории;Количество в порции;Объём;Картинка;Статус
3003;Венеция;Роллы;Лосось, сыр сливочный, огурец;288;50;210;235;8;;uploads/items/veneciya.jpg;1
3004;Грин;Роллы;Лосось, сыр сливочный, огурец, укроп;258;50;220;249;8;;uploads/items/grin.jpg;1
3005;Гурман;Роллы;Лосось, японский майонез, такуан, огурец;288;50;220;191;10;;uploads/items/gurman.jpg;1
3006;Дракон;Роллы;Угорь копченый, лосось, сыр сливочный, огурец, унаги соус, кунжут;308;50;245;332;8;;uploads/items/drakon.jpg;1
3007;Калифорния с крабом;Роллы;Снежный краб, японский майонез, икра масаго, огурец;308;50;225;202;8;;uploads/items/kalifoniyasnezhkrab.jpg;1
3008;Калифорния с креветкой;Роллы;Креветка, японский майонез, икра масаго, японский омлет, огурец;308;50;240;232;8;;uploads/items/kaliforniyaskrevetkoi.jpg;1
3009;Калифорния с лососем;Роллы;Лосось, японский майонез, икра масаго, огурец;308;50;220;218;8;;uploads/items/kaliforniyaslososem.jpg;1
3010;Калифорния с угрем;Роллы;Угорь копченый, японский майонез, икра масаго, японский омлет, огурец;308;50;235;254;8;;uploads/items/kaliforniyasugrem.jpg;1
3011;Калифорния шик;Роллы;Лосось, сыр сливочный, такуан, икра масаго;298;50;225;230;8;;uploads/items/kaliforniya-shik.jpg;1
3012;Канада;Роллы;Угорь копченый, сыр сливочный, японский омлет, огурец, унаги соус, кунжут;308;50;245;357;8;;uploads/items/kanada.jpg;1
3013;Кани-Кацу маки;Роллы;Мидии, снежный краб, икра масаго, огурец, спайси соус;268;50;230;190;10;;uploads/items/kanikacumaki.jpg;1
3014;Майами;Роллы;Угорь копченый, сыр сливочный, такуан, икра масаго, унаги соус;308;50;255;346;8;;uploads/items/maiami.jpg;1
3015;Нежный;Роллы;Лосось, сыр сливочный, икра масаго;308;50;215;262;8;;uploads/items/nezhni.jpg;1
3016;Ногано;Роллы;Курица х/к, сыр сливочный, корнишоны, стружка тунца;288;50;210;278;8;;uploads/items/nogano.jpg;0
